Judul,Jenis,Urgensi,Polda,Tanggal,Isi
Situasi kamtibmas dan rengiat masyarakat Pada hari Senin tanggal  17 Februari  2025 di wilayah Sumsel,intelijen,sedang,,"17/2/2025, 16.48.55",Situasi kamtibmas dan rengiat masyarakat Pada hari Senin tanggal  17 Februari  2025 di wilayah Sumsel
Situasi kamtibmas dan rengiat masyarakat Pada hari Senin tanggal  17 Februari  2025 di wilayah Sumsel,intelijen,sedang,,"17/2/2025, 16.48.46",Situasi kamtibmas dan rengiat masyarakat Pada hari Senin tanggal  17 Februari  2025 di wilayah Sumsel
Komplotan Rampok Satroni Toko Elektronik Rampas Ratusan Hp,intelijen,sedang,Depok ,"17/2/2025, 05.14.20","1. Polisi mengungkap aksi pencurian di sebuah toko elektronik di kawasan Pancoran Mas, Kota Depok, Jawa Barat (Jabar). Para pelaku menggasak ratusan ponsel hingga puluhan tablet.
""Kerugian barang berupa 101 unit handphone, 31 tablet , dan 85 item aksesoris dengan nilai kerugian sebesar Rp 587 juta,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi kepada wartawan, Minggu (16/2/2025).

Terpisah, Kasubdit Resmob Ditreskrimum Polda Metro Jaya AKBP Ressa Fiardy Marasabessy mengatakan peristiwa terjadi pada Selasa (4/2), pukul 04.40 WIB, saat toko tengah tutup. Dari rekaman CCTV, pelaku diketahui berjumlah lima orang."
Pelaku Tawuran Rusak Mobil Warga Pakai Sajam,intelijen,sedang,JAKARTA SELATAN,"17/2/2025, 05.09.42","1. Aksi para pelaku tawuran di Menteng Atas, Setiabudi, Jakarta Selatan, meresahkan warga. Para pelaku tawuran merusak beberapa mobil warga dengan menggunakan senjata tajam.
Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi mengatakan peristiwa terjadi pada Minggu (16/2/2025), pukul 04.42 WIB. Aksi tersebut pertama kali diketahui oleh salah seorang asisten rumah tangga yang baru pulang dari masjid.

""Di mana saat itu Saudari Y (pembantu rumah tangga yang bekerja di rumah korban) yang pertama kali mengetahui terjadinya tawuran. Mengetahui hal tersebut, Saudari Y sempat berteriak 'ada tawuran',"" kata Ade Ary dalam keterangannya, Minggu (16/2)."
"Toha Tohet-Rohman Siap Dilantik jadi Bupati-Wabup Musi Banyuasin, Jalani Medical Check Up",intelijen,sedang,"Musi Banyuasin,Sumsel","16/2/2025, 15.47.32",https://sumsel.tribunnews.com/2025/02/14/toha-tohet-rohman-siap-dilantik-jadi-bupati-wabup-musi-banyuasin-jalani-medical-check-up?jxrecoid=0666d5f9-daf6-4561-901a-ebe56e189f1e~hp_tbn&source=widgetArtikelRekomendasi&engine=JXA
Bang Jago Todongkan Pisau di TK Tangsel Ditangkap di Rumah Ortunya,intelijen,sedang,JAKARTA,"16/2/2025, 05.55.57","Dapat laporan dia sudah cerita ke orang tuanya, 'Ayah, Bunda, kenapa tadi kok ada guru aku dipukul,' bahasa anak kan gitu ya,"" ujar Nisa saat ditemui di rumahnya di Kawasan Pamulang Permata.

Nisa bercerita, saat terjadi penodongan, anak-anak TK yang menyaksikan sontak berteriak. Beberapa anak juga mengalami syok di lokasi kejadian.

""Anak-anaknya sih teriak. Teriak ya termasuk tadi yang teriak, terus tadi juga ya anak yang pendiam itu pastikan dia syok banget ya,"" tutur Nisa.

Nisa mengatakan, setelah kejadian tersebut, pihak sekolah meminta Polsek Cisauk dan Polres Tangsel datang untuk memberikan trauma healing. Pihak sekolah meminta agar anak-anak diberi terapi mengatasi kondisi syok mental ini.

""Kita minta juga dari pihak polsek atau polres untuk mendatangi sekolah kami buat trauma healing. Supaya anak-anak pun diberi tahu bagaimana caranya mengatasi ancaman atau kekerasan ketika dia di luar,"" tutur Nisa."
"Polisi Amankan 7 Pak Ogah di Jakbar, Tes Urine Positif Narkoba",intelijen,sedang,JAKARTA,"16/2/2025, 05.53.37","sebanyak tujuh orang yang berprofesi sebagai Pak Ogah telah kami amankan. Setelah dilakukan pemeriksaan urine, mereka positif menggunakan narkoba,"" ujar Kapolsek Metro Tamansari AKBP Riyanto dalam keterangannya"
"Pelantikan Kepala Daerah Jadi Sorotan Ahli Hukum Unsri, Belum Ada Perpres Terbaru Soal Pelantikan.",intelijen,sedang,"Ogan Ilir, Sumsel","15/2/2025, 15.47.12",https://sumsel.tribunnews.com/2025/02/14/pelantikan-kepala-daerah-jadi-sorotan-ahli-hukum-unsri-belum-ada-perpres-terbaru-soal-pelantikan?jxrecoid=37a8332d-422c-4b68-9bcf-ea73b717ffa8~hp_tbn&source=widgetArtikelRekomendasi&engine=JXA
Kapolres Tanjung Priok Gelar Jumat Curhat di Rumah Apung Muara Angke,intelijen,sedang,JAKARTA,"15/2/2025, 03.22.53","Kapolres Pelabuhan Tanjung Priok, AKBP Martuasah Tobing, menggelar Jumat Curhat di Rumah Apung dan Rumah Panggung RW 022 Pelabuhan Muara Angke, Jakarta Utara. Martuasah mengajak warga menjaga suasana kondusif.
Dalam keterangan tertulis yang diterima, Jumat (14/2/2025), Martuasah didampingi Pejabat Utama Polres Tanjung Priok turut memberikan sembako kepada warga.

Kegiatan ini juga dihadiri tim pilot project pembangunan rumah Apung dan Rumah panggung Universitas Pertahanan Republik Indonesia (Unhan RI), yang dipimpin oleh Ketua Tim Brigjen TNI Susanto, Brigadir Jenderal TNI AL Yanda Dwira, Kapolsek Kawasan Sunda Kelapa Kompol Hitler Napitupulu, serta pejabat utama Polres Pelabuhan Tanjung Priok."
Polisi: Pria Dikira Maling Motor di Jaksel Punya Gangguan Ingatan  ,intelijen,sedang,JAKARTA,"15/2/2025, 03.18.45","Seorang pria berinisial HAK (31) viral di media sosial karena sempat dikira mencuri motor milik seseorang di minimarket Poltangan, Jagakarsa, Jakarta Selatan. Polisi menyebut HAK ternyata mengidap penyakit gangguan ingatan.
""Jadi dia dalam perawatan medis karena sebelumnya yang diduga pelaku itu pernah kecelakaan di kepala, jadi agak kurang-kurang ingatannya,"" kata Kapolsek Jagakarsa Kompol Iwan Gunawan saat dihubungi, Jumat (14/2/2025)."
"4 Wanita Komplotan Pencuri di Mal Jakbar Bertetangga, Ada Ibu dan Anak",intelijen,sedang,JAKARTA BARAT,"15/2/2025, 02.50.54","Polisi mengungkap sosok empat wanita komplotan pencuri perhiasan milik anak-anak di sebuah mal kawasan Puri Kembangan, Jakarta Barat. Polisi mengungkap para pelaku bertetangga.
""Mereka tetanggaan,"" kata Kapolsek Kembangan Kompol Moch Taufik Iksan dalam keterangannya, Jumat (14/2/2025).

Dari keempat pelaku itu, AH (43) dan NH (20) merupakan ibu dan anak. Dua tersangka lainnya yang diringkus adalah wanita YI (30) dan NI (28).

""Dari pelaku yang diamankan tersebut, terdapat pelaku seorang ibu yang dalam melakukan aksi kejahatan mengajak anaknya juga. Ibu AH dan anak NH,"" ujarnya.

Berdasarkan penyelidikan sementara, para pelaku sudah tiga kali melakukan aksi tersebut. Pelaku juga sempat beraksi di Tebet Eco Park, Jakarta Selatan. Barang hasil curian mereka jual untuk memenuhi kebutuhan sehari-hari."
"Lanosin Medical Check Up Jelang Dilantik Sebagai Bupati OKU Timur, Siap Ikut Orientasi di Magelang.",intelijen,sedang,"OKU Timur, Sumsel","14/2/2025, 15.05.07",https://sumsel.tribunnews.com/2025/02/13/lanosin-medical-check-up-jelang-dilantik-sebagai-bupati-oku-timur-siap-ikut-orientasi-di-magelang?jxrecoid=275912d9-4313-47f7-927a-d7776aaeed1f~hp_tbn&source=widgetArtikelRekomendasi&engine=JXA.
"Bupati PALI Terpilih, Asgianto ST Masih Fokus Ikuti Rapimnas Partai Gerindra Jelang Pelantikan.",intelijen,sedang,"PALI,SUMSEL","14/2/2025, 15.02.12",https://sumsel.tribunnews.com/2025/02/13/bupati-pali-terpilih-asgianto-st-masih-fokus-ikuti-rapimnas-partai-gerindra-jelang-pelantikan.
Info Titik Kepadatan Lalu Lintas di Tol Arah Jakarta Pagi Ini ,intelijen,sedang,JAKARTA,"13/2/2025, 17.40.18","""Tol Jagorawi Cipayung KM 08 - Kalicipinang KM 03 padat, kepadatan volume lalin. Cililitan KM 02 - Cawang KM 00 padat, kepadatan volume lalin,"" demikian dikutip dari X Jasa Marga @PTJasamarga, Kamis (13/2/2025).

Kemudian kepadatan lalin juga terjadi di Tol Japek arah Jakarta pagi ini. Salah satu titik kepadatan di Tol Japek adanya di Halim Km 02 hingga Cawang Km 00 akibat padatnya volume lalin.

Kemudian macet juga terjadi di Tol Janger (Jakarta Tangerang). Hal itu imbas adanya kepadatan volume lalin.

""Tol Janger Tangerang KM 19 - Kunciran KM 14 padat, kepadatan volume lalin dan keluar masuk rest area. Kunciran KM 13 - Karang Tengah KM 10 padat, kepadatan volume lalin. Karang Tengah KM 09 - Kedoya KM 04 padat, kepadatan volume lalin,"" ujarnya."
"Tabrakan Adu Banteng Motor 'Cengtri' di Bekasi, 3 Orang Tewas ",intelijen,sedang,BEKASI,"13/2/2025, 17.36.51","Kecelakaan maut itu terjadi di Jalan Kalimalang, Cibitung, Kabupaten Bekasi, pada Kamis (13/2/2025) sekitar pukul 04.45 WIB. Kejadian ini viral di media sosial.

""Meninggal tiga orang, luka berat 1 orang,"" kata Sugihartono saat dikonfirmasi detikcom, Kamis (13/2/2025).

Sugihartono menjelaskan kecelakaan berawal saat motor Honda bernopol BE-6893-ZE yang dikendarai laki-laki berinisial P berboncengan dengan dua laki-laki inisial C dan BH."
Daftar Bupati Terpilih di Sumatera Selatan yang Akan Dilantik pada 20 Februari 2025,intelijen,sedang,"PALEMBANG, SUMSEL","13/2/2025, 16.39.19",https://manado.tribunnews.com/2025/02/12/daftar-bupati-terpilih-di-sumatera-selatan-yang-akan-dilantik-pada-20-februari-2025.
"Harga Sembako 12 Febuari 2025 di Pasar Pulo Mas Empat Lawang, Cabai Rawit Hijau Rp 80 Ribu per Kilo",intelijen,sedang,"EMPAT LAWANG, SUMSEL","13/2/2025, 16.37.54",https://sumsel.tribunnews.com/2025/02/12/harga-sembako-12-febuari-2025-di-pasar-pulo-mas-empat-lawang-cabai-rawit-hijau-rp-80-ribu-per-kilo.
"42 Daftar Alamat Puskesmas di Palembang Terbaru 2025, Bisa Cek Kesehatan Gratis Spesial Kado Ultah",intelijen,sedang,"PALEMBANG, SUMSEL","13/2/2025, 16.20.33",https://sumsel.tribunnews.com/2025/02/12/42-daftar-alamat-puskesmas-di-palembang-terbaru-2025-bisa-cek-kesehatan-gratis-spesial-kado-ultah.
"Bocah 6 Tahun di Jakbar Diduga Terkena Peluru Nyasar, Polisi Selidiki",intelijen,sedang,JAKARTA BARAT,"13/2/2025, 07.00.49","Seorang bocah laki-laki berinisial M di Cengkareng, Jakarta Barat, diduga terkena peluru nyasar. Bocah berusia 6 tahun itu mengalami luka di bagian paha.
Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi membenarkan adanya kejadian itu. Peristiwa tersebut terjadi di sebuah bengkel sepeda di Jalan Utama 2 RT 04 RW 03, Kelurahan Cengkareng Barat, Cengkareng, Jakarta Barat, pada Selasa (11/2/2025) malam.

""Benar, korban M anak laki-laki berusia 6 tahun. Kasusnya saat ini masih diselidiki Polsek Cengkareng,"" kata Ade Ary saat dihubungi detikcom, Rabu (12/2).
Kejadian berawal ketika pada Selasa (11/2) sekitar pukul 22.15 WIB, korban bersama ibu dan ayahnya sedang tidur kemudian mendengar suara keras. Bersamaan dengan itu, sekeluarga itu mendengar suara seperti barang jatuh."
Pria Jatuh dari Lantai 18 di Bintaro Sempat Cekcok dengan Istri soal Pinjol,intelijen,sedang,JAKARTA TIMUR,"13/2/2025, 06.54.34","Seorang pria berinisial RA (41) tewas diduga terjatuh dari lantai 18 sebuah apartemen di Bintaro, Pondok Aren, Tangerang Selatan. Sebelum tewas, korban dan istrinya, ZA, diduga sempat cekcok masalah pinjaman online (pinjol).

""Menurut keterangan saksi inisial ZA istri korban, mereka memang sempat cekcok masalah pinjol. Tetapi ini masih didalami penyidik,"" ujar Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi saat dihubungi detikcom, Rabu (12/2/2025).

Percekcokan itu terjadi pada Selasa (11/2) malam. Saat cekcok itu, ZA mengaku sempat menyimpan kunci balkon apartemen di dalam mulutnya.

""Saksi ZA sempat menyimpan kunci balkon apartemen di dalam mulut saat cekcok itu. Kemudian, saksi atau istri korban dan korban beristirahat,"" jelas Ade Ary."
situasi kamtibmas dan rengiat masyarakat Pada hari Rabu tanggal  12 Februari 2025 di wilayah:,intelijen,sedang,,"12/2/2025, 16.40.53",situasi kamtibmas dan rengiat masyarakat Pada hari Rabu tanggal  12 Februari 2025 di wilayah:
Sopir Truk Asal Payakumbuh yang Dianiaya di Minas Terbukti Tidak Mencuri,intelijen,sedang,PAYAKUMBUH,"12/2/2025, 15.43.56","Korban penganiayaan oleh pemilik lahan kelapa sawit, Sopir Truk asal Payakumbuh, terbukti tidak melakukan tindakan pencurian. Hal ini disampaikan oleh Kapolres Kabupaten Siak, AKBP Eka Ariandi, dalam press release, pada Senin, (10/2/2025).

“Korban murni hanya sebagi sopir, atau orang yang sering menjemput buah kelapa sawit di lahan orang. Tetapi, bukan korban yang mencuri kelapa sawit tersebut. Ia hanya menjalankan perintah si pemilik mobil,” ujar AKBP Eka Ariandy Putra.

Meskipun memang buah kelapa sawit milik tersangka benar dicuri. Namun, korban sama sekali tidak mengetahui buah tersebut buah curian atau tidak. Saat ini, diketahui korban menderita memar di bagian perut, serta mengalami sesak nafas.

Tersangka diketahui berasal dari suku Batak, sedangkan korban berasal dari suku Minang. Banyak dari warganet yang mengarahkan kasus ini pada persoalan suku. Namun, AKBP Eka Ariandy Putra menegaskan bahwa dalam kasus ini tidak ada hubungannya dengan usur SARA.

AKBP Eka Ariandy Putra, mengimbau masyarakat untuk mengetahui bahwa kasus ini murni karena sakit hati saat buah kelapa sawit di lahannya dicuri. Tidak ada hubungannya dengan unsur kesukuan."
"Hindari Kejaran Polisi, Buron Penembakan di Bogor Ganti Nomor Ponsel",intelijen,sedang,Bogor,"12/2/2025, 01.03.22","Dua orang buron kasus penembakan maut di Pasar Mawar, Kota Bogor, berupaya menghilangkan jejak seusai insiden tersebut. FY dan HA mengganti ponsel berikut nomornya untuk menghindari kejaran polisi.
""Untuk upayanya (menghilangkan jejak), yang pasti yang bersangkutan menggunakan HP dan nomor baru,"" kata Kasat Reskrim Polresta Bogor Kota AKP Aji Riznaldi kepada wartawan di kantornya, Selasa (11/2/2025).

FY dah HA langsung terbang ke Bali setelah insiden penembakan pada Senin (3/2) dini hari. Mereka kemudian bersembunyi di kawasan Kuta, Bali."
"Hindari Kejaran Polisi, Buron Penembakan di Bogor Ganti Nomor Ponsel",intelijen,sedang,Bogor,"12/2/2025, 01.03.17","Dua orang buron kasus penembakan maut di Pasar Mawar, Kota Bogor, berupaya menghilangkan jejak seusai insiden tersebut. FY dan HA mengganti ponsel berikut nomornya untuk menghindari kejaran polisi.
""Untuk upayanya (menghilangkan jejak), yang pasti yang bersangkutan menggunakan HP dan nomor baru,"" kata Kasat Reskrim Polresta Bogor Kota AKP Aji Riznaldi kepada wartawan di kantornya, Selasa (11/2/2025).

FY dah HA langsung terbang ke Bali setelah insiden penembakan pada Senin (3/2) dini hari. Mereka kemudian bersembunyi di kawasan Kuta, Bali."
"Diduga Ngantuk, Mobil di Cibinong Tabrak 2 Motor hingga Tiang Listrik",intelijen,sedang,Bogor,"12/2/2025, 01.00.18","Anggota kami sudah mendatangi TKP (tempat kejadian perkara), namun demikian ke-4 pihak yang terlibat tidak mau ditangani pihak kepolisian dan tidak mengeluarkan identitasnya"
Situasi kamtibmas dan rencana kegiatiatan masyarakat Pada hari Selasa  Tanggal 11 Februari 2025 di wilayah Sumsel,intelijen,sedang,,"11/2/2025, 14.37.55",Situasi kamtibmas dan rencana kegiatiatan masyarakat Pada hari Selasa  Tanggal 11 Februari 2025 di wilayah Sumsel
Duo Jambret Gadaikan Ponsel Bocah 8 Tahun di Jaksel Buat Judi Slot  ,intelijen,sedang,JAKARTA SELATAN,"11/2/2025, 05.06.22","Polisi mengungkap dua orang pria K (21) dan B (23) yang menjambret bocah 8 tahun di Srengseng Sawah, Jagakarsa, Jakarta Selatan menjual ponsel korban usai beraksi. Ponsel korban dijual Rp 700 ribu untuk bermain slot.
""Untuk membeli bensin, digunakan untuk makan dan digunakan untuk bermain slot,"" kata Dirkrimum Polda Metro Jaya Kombes Wira Satya Triputra kepada wartawan, Senin (10/1/2025).

Kedua tersangka berkeliling mencari korban yang rentan untuk kemudian menjambretnya. Tersangka saat itu merebut paksa ponsel milik korban hingga jatuh tersungkur. Wira menyebut kedua tersangka malah menertawakan korban yang tersungkur.

Setelah pelaku berhasil mengambil handphone korban, berikutnya pelaku ini sambil tertawa dengan merasa seolah-olah puas dengan hasil kegiatan yang mereka lakukan,"" ujarnya."
Polisi Tangkap Pasutri Penadah Motor Curian di Jakbar,intelijen,sedang,JAKARTA BARAT,"11/2/2025, 04.39.10","Pasangan suami-istri (pasutri) berinisial B dan N ditangkap karena terlibat sindikat curanmor. Pasutri tersebut menadah motor hasil curian sindikatnya.
""Mereka diketahui membeli kendaraan hasil curian seharga Rp 2.800.000 per unit,"" kata Kapolsek Palmerah Kompol Eko Adi Setiawan dalam keterangannya kepada wartawan, Senin (10/2/2025).

Selain pasutri B dan N, polisi juga menangkap tiga orang pelaku lainnya. Ketiga pelaku tersebut yakni R (28), A (22), dan F (25)"
laporan situasi Ipoleksosbudkam wilayah hukum Polda Sumbar,intelijen,sedang,PADANG PANJANG,"10/2/2025, 15.50.21","1. Harapkan Pembangunan dan Rehabilitasi Fasum, Musrenbang Ganting Ajukan 21 Usulan.* 
 
Pada hari Kamis tanggal 16 Januari 2025, Musyawarah Perencanaan Pembangunan (Musrenbang) Kelurahan Ganting membahas 21 usulan yang difokuskan pada pembangunan sarana dan prasarana serta rehabilitasi fasilitas umum (Fasum) untuk kebutuhan masyarakat. Semua usulan yang disampaikan dalam musrenbang dibahas di aula kantor lurah setempat, dihadiri PIt. Sekretaris Camat Padang Panjang Timur (PPT), Ryan Afrinaldi, A.Md., Lurah Ganting, Andra Daswara, S.IP serta perwakilan dari OPD, LPM, RT, Babinsa, Bhabinkamtibmas dan masyarakat setempat. Usulan-usulan tersebut merupakan hasil dari pramusrenbang yang telah dilaksanakan sebelumnya. Ryan Afrinaldi berharap agar semua usulan dapat disaring dan diprioritaskan sesuai dengan kebutuhan kelurahan. Setiap usulan yang disampaikan merupakan aspirasi masyarakat untuk kepentingan bersama. Oleh karena itu, kami berharap usulan yang akan diangkat bisa sesuai dengan harapan dan dapat menjadi program yang berkelanjutan untuk kesejahteraan bersama. Sementara itu, Lurah Andra menyampaikan, seluruh usulan yang diajukan diharapkan dapat terealisasi, terutama untuk prioritas utama di Ganting. Selain pembangunan dan rehabilitasi fasum, usulan ini juga mencakup kebutuhan di bidang pendidikan, kesehatan serta kegiatan yang mendukung pengembangan kepemudaan. Dari 21 usulan yang disampaikan, 18 di antaranya ditetapkan sebagai prioritas utama. Namun, usulan-usulan tersebut tetap akan dipertimbangkan dan ditinjau kembali sesuai dengan kebutuhan yang ada."
Potensi Kerawanan Giat Perayaan Cap Go Meh 2025 Bertempat di Pulau Kemaro Kota Palembang,intelijen,sedang,,"10/2/2025, 15.39.43",Potensi Kerawanan Giat Perayaan Cap Go Meh 2025 Bertempat di Pulau Kemaro Kota Palembang
2 Pengamen Wanita Dipukuli Pemulung Di Bekasi Saat Hitung Uang,intelijen,sedang,KOTA BEKASI,"10/2/2025, 00.15.38","Dua orang pengamen berinisial MBG dan YB menjadi korban penganiayaan saat sedang menghitung uang pendapatannya di Bekasi, Jawa Barat. Pelaku diketahui merupakan pemulung.
Peristiwa itu terjadi pada Minggu (9/2/2025) sekitar pukul 01.00 WIB. Korban yang tengah menghitung uang diserang oleh pelaku menggunakan balok kayu.

""Saat di TKP didatangi pelaku berjumlah 1 orang langsung memukul korban 1 dan 2 menggunakan balok panjang ke arah kepala dan tangan berkali-kali,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi dalam keterangannya, Minggu (9/2/2025).

Ade Ary menjelaskan pelaku menyerang ke arah kepala dan tangan berkali-kali. Telepon genggam korban juga coba diambil oleh pelaku tersebut.

""Kemudian para korban berteriak meminta tolong, lalu datang para saksi mengejar pelaku,"" sebutnya.

Saat dikejar, pelaku coba bersembunyi di selokan dan pada akhirnya dapat diamankan. Para korban yang terluka pun dibawa ke RSUD Bekasi Kota.

""Lalu pelaku didapati mengumpat di selokan. Kemudian diamankan dan dibawa ke Pospol Kayuringin,"" kata dia.

""Diketahui pelaku adalah pemulung,"" tambahnya."
"Detik - Detik Kapal Terbakar Di Dermaga Ancol, Sempat Terdengar Ledakan",intelijen,sedang,JAKARTA UTARA,"10/2/2025, 00.13.41","Jakarta - Kebakaran terjadi pada dua kapal yang berada di Dermaga Marina Ancol, Jakarta Utara. Saksi kejadian tersebut melihat terjadi ledakan saat kapal sedang mengisi BBM.
""Awal kejadian menurut keterangan saksi pada saat pengisian BBM dari mobil tangki ke kapal tiba-tiba terjadi ledakan,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi dalam keterangannya, Minggu (9/2/2025).

Kemudian, salah satu kapal terbakar seusai ledakan tersebut. Kebakaran pun terjadi dan operasi pemadaman baru berakhir pagi ini pukul 05.28 WIB.
""Menyebabkan kapal KM Tenggiri terbakar,"" kata dia.

Saat pengisian bahan bakar, saksi sempat melihat ada anak buah kapal (ABK) yang merokok. Para korban pun telah dibawa ke rumah sakit untuk perawatan. Sedangkan 1 korban meninggal dunia dibawa ke RS Polri.

""Terdapat 3 orang dibawa ke RS Koja, 1 orang ke RS Sulianti Saroso, 1 orang RS Satya Negara. Terdapat 1 orang meninggal dunia, atas nama T dan langsung dibawa ke RS. Polri,"" sebutnya.

Sebelumnya diberitakan, kejadian kebakaran terjadi pada Sabtu (8/2) pukul 22.00 WIB. Operasi pemadaman baru berakhir pagi ini pukul 05.28 WIB.

""Korban meninggal dunia satu orang. Identitas korban meninggal (bernama) Tomi,"" kata Kasiops Damkar Jakarta Utara Gatot Sulaeman saat dihubungi Minggu (9/2).

Gatot mengatakan ada enam orang mengalami luka bakar. Korban luka bakar ini merupakan para anak buah kapal dan sopir tanki.

Para korban luka bakar masing-masing bernama Rian, Hatim, Maja, Muiz. Keempatnya merupakan anak buah kapal yang terbakar. Satu korban luka bakar lainnya merupakan sopir tanki bernama Indra Supriyadi.

""Kerugian Rp 6.000.000.000,"" ujar Gatot."
Perayaan Cap Go Meh di Palembang,intelijen,sedang,"Palembang,sumsel","9/2/2025, 16.18.23",https://sumeks.disway.id/read/742552/perayaan-cap-go-meh-di-palembang-537-personel-gabungan-disiagakan-akses-darat-dan-sungai-ke-pulau-kemaro/15
"Hujan Lebat, Sejumlah Jalan di Jakbar hingga Jakpus Tergenang Air",intelijen,sedang,JAKARTA,"8/2/2025, 15.24.49","Hujan lebat terjadi di Jakarta sejak semalam. Jalan Daan Mogot arah Grogol, Jakarta Barat, tergenang air.
Kondisi Jalan Daan Mogot arah Grogol tergenang air diunggah oleh akun media sosial TMC Polda Metro Jaya, Sabtu (8/4/2024). Genangan air terjadi pada pukul 02.43 WIB.

""Terdapat genangan air kurang lebih 30-40 Cm di kawasan Jl. Daan Mogot KM 13 arah Grogol,"" tulisnnya."
Pimpinan Komisi III DPR Apresiasi Polri Bongkar Kasus Deepfake Catut Prabowo ,intelijen,sedang,Jakarta,"8/2/2025, 15.16.55","""Oleh karena itu, saya mendesak agar Polri, pemerintah, dan sektor akademik mempercepat penguatan regulasi serta literasi digital untuk mencegah eskalasi kejahatan berbasis AI,"" ujarnya.

Dia juga meminta Polri agar penegakan hukum terhadap kejahatan digital tidak boleh bersifat reaktif semata, tetapi harus progresif dan berkelanjutan.

""Ini berarti bukan hanya menangkap pelaku, tetapi juga mengembangkan metode deteksi dini deepfake, memperketat regulasi platform digital, serta memperkuat kapasitas aparat dalam menghadapi kejahatan siber berbasis AI,"" katanya.

Menurut Rano, dengan kemajuan AI yang semakin pesat, kejahatan digital akan terus berkembang. Maka, kata dia, Polri harus terus meningkatkan kapasitasnya dalam digital forensic, AI-driven crime investigation, dan kolaborasi lintas sektor agar selalu selangkah lebih maju dalam menghadapi tantangan kejahatan siber di masa depan."
Operasi pasar Digelar di kabupaten Muara Enim,intelijen,sedang,"MUARA ENIM, SUMSEL","8/2/2025, 15.12.44",https://sumsel.tribunnews.com/2025/02/06/perkuat-ketersediaan-lpg-3-kg-di-masyarakat-operasi-pasar-kembali-digelar-di-kabupaten-muara-enim.
Wanita di Ciampea Bogor Ditemukan Gantung Diri Usai Cekcok dengan Suami,intelijen,sedang,Bogor ,"8/2/2025, 04.28.25","Diketahui setelah bertengkar terkait masalah keuangan, dimana suami korban meminta uang untuk pembelian magiccom (pemanas nasi) sebesar Rp 300.000 untuk ibunya,"" kata Suminto.

""Akan tetapi dalam memberikan uang tersebut dalam kondisi marah, dan suaminya tidak menerima sehingga terjadi perselisihan,"" imbuhnya.

Suminto menambahkan, pihak keluarga menolak jenazah korban diautopsi dan menganggap kejadian tersebut sebagai musibah. Saat ini jenazah sudah diserahterimakan ke pihak keluarga.

""Jenazah sudah dalam pengurusan pihak keluarga. Dari RS sudah dilakukan penanganan medis dan diserahkan ke pihak keluarga dikarenakan pihak keluarga tidak berkenan dilakukan otopsi dan tidak berkenan dilanjutkan ke proses hukum,"" kata Suminto"
Wanita di Ciampea Bogor Ditemukan Gantung Diri Usai Cekcok dengan Suami,intelijen,sedang,Bogor ,"8/2/2025, 04.28.14","Diketahui setelah bertengkar terkait masalah keuangan, dimana suami korban meminta uang untuk pembelian magiccom (pemanas nasi) sebesar Rp 300.000 untuk ibunya,"" kata Suminto.

""Akan tetapi dalam memberikan uang tersebut dalam kondisi marah, dan suaminya tidak menerima sehingga terjadi perselisihan,"" imbuhnya.

Suminto menambahkan, pihak keluarga menolak jenazah korban diautopsi dan menganggap kejadian tersebut sebagai musibah. Saat ini jenazah sudah diserahterimakan ke pihak keluarga.

""Jenazah sudah dalam pengurusan pihak keluarga. Dari RS sudah dilakukan penanganan medis dan diserahkan ke pihak keluarga dikarenakan pihak keluarga tidak berkenan dilakukan otopsi dan tidak berkenan dilanjutkan ke proses hukum,"" kata Suminto"
Problematika Rusunawa Jakarta hingga Tunggakan Capai Puluhan Miliar,intelijen,sedang,JAKARTA,"8/2/2025, 04.24.38","Pemprov Jakarta buka-bukaan nilai tunggakan sewa penghuni rusunawa. Warga menunggak sejak tahun 2010 dengan jumlah tunggakan mencapai Rp 95,5 miliar.

Sekretaris Dinas Perumahan Rakyat dan Kawasan Permukiman DKI Jakarta, Meli Budiastuti mengatakan faktor utama yang menyebabkan tunggakan hingga puluhan miliar karena sulitnya membedakan antara penghuni warga terprogram dan warga umum. Warga terprogram seringkali beralasan terpaksa tinggal di rusunawa, sementara penghuni warga umum juga menghadapi kesulitan ekonomi."
